Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Vegetables and Vegetable Products,29,"Corn, yellow, whole kernel, frozen, microwaved",131,3.62,2.6,3.36,68.4,4,0.15
Vegetables and Vegetable Products,28,"Tomatoes, red, ripe, canned, stewed",26,0.91,1,3.52,91.54,221,0.026
Vegetables and Vegetable Products,28,"Beet greens, raw",22,2.2,3.7,0.5,91.02,226,0.02
Vegetables and Vegetable Products,28,"Peppers, sweet, green, sauteed",127,0.78,1.8,2.17,82.65,17,1.59
Fruits and Fruit Juices,28,"Figs, dried, stewed",107,1.42,4.2,23.35,69.8,4,0.062
Vegetables and Vegetable Products,28,"Sweet potato, canned, syrup pack, drained solids",108,1.28,3,5.74,72.47,39,0.069
Fruits and Fruit Juices,27,"Plums, dried (prunes), stewed, without added sugar",107,0.96,3.1,24.98,69.73,1,0.01
Vegetables and Vegetable Products,27,"Beets, canned, drained solids",31,0.91,1.8,5.51,90.96,194,0.022
Fruits and Fruit Juices,27,"Rowal, raw",111,2.3,6.2,14.1,71.4,4,0.245
Fruits and Fruit Juices,27,"Plantains, cooked",116,0.79,2.3,14,67.3,5,0.069
Fruits and Fruit Juices,27,"Passion-fruit, (granadilla), purple, raw",97,2.2,10.4,11.2,72.93,28,0.059
Vegetables and Vegetable Products,27,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",105,6.65,6,1.37,72.35,29,0.068
Fruits and Fruit Juices,26,"Avocados, raw, Florida",120,2.23,5.6,2.42,78.81,2,1.96
Vegetables and Vegetable Products,26,"Tomato products, canned, paste, without salt added",82,4.32,4.1,12.18,73.5,59,0.1
Vegetables and Vegetable Products,26,"Vegetables, mixed, canned, drained solids",49,2.59,3,2.41,87.01,149,0.051
Fruits and Fruit Juices,26,"Raspberries, frozen, red, sweetened",103,0.7,4.4,21.76,72.75,1,0.005
Vegetables and Vegetable Products,26,"Lima beans, immature seeds, raw",113,6.84,4.9,1.48,70.24,8,0.198
Vegetables and Vegetable Products,26,"Chard, swiss, raw",19,1.8,1.6,1.1,92.66,213,0.03
Vegetables and Vegetable Products,26,"Sweet potato, canned, syrup pack, solids and liquids",89,0.98,2.5,15.4,77.39,44,0.041
Vegetables and Vegetable Products,26,"Peas, green, frozen, cooked, boiled, drained, without salt",78,5.15,5.5,4.65,79.52,72,0.049
Vegetables and Vegetable Products,26,"Catsup, low sodium",96,1.25,0.3,21.71,69.19,20,0.025
Vegetables and Vegetable Products,26,"Yam, raw",118,1.53,4.1,0.5,69.6,9,0.037
Vegetables and Vegetable Products,26,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",111,5.96,6.2,2.48,71.8,5,0.112
Vegetables and Vegetable Products,25,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",93,4.31,4.1,2.21,74.1,45,0.166
Vegetables and Vegetable Products,25,"Sweet potato, canned, vacuum pack",91,1.65,1.8,5,76.03,53,0.041
Vegetables and Vegetable Products,25,"Yam, cooked, boiled, drained, or baked, without salt",116,1.49,3.9,0.49,70.13,8,0.029
Vegetables and Vegetable Products,25,"Beans, fava, in pod, raw",88,7.92,7.5,9.21,72.6,25,0.118
Fruits and Fruit Juices,25,"Strawberries, frozen, sweetened, sliced",96,0.53,1.9,24.01,73.18,3,0.007
Vegetables and Vegetable Products,25,"Taro, raw",112,1.5,4.1,0.4,70.64,11,0.041
Vegetables and Vegetable Products,25,"Vegetable juice cocktail, canned",19,0.63,0.8,3.3,93.52,198,0.013
Vegetables and Vegetable Products,24,"Sweet potato, raw, unprepared",86,1.57,3,4.18,77.28,55,0.018
Fruits and Fruit Juices,24,"Plums, canned, purple, heavy syrup pack, solids and liquids",89,0.36,0.9,22.31,76.06,19,0.008
Fruits and Fruit Juices,24,"Plums, canned, heavy syrup, drained",89,0.44,1.5,21.58,76.06,19,0.011
Fruits and Fruit Juices,24,"Peaches, frozen, sliced, sweetened",94,0.63,1.8,22.18,74.73,6,0.014
Fruits and Fruit Juices,24,"Breadfruit, raw",103,1.07,4.9,11,70.65,2,0.048
Vegetables and Vegetable Products,24,"Grape leaves, raw",93,5.6,11,6.3,73.32,9,0.336
Vegetables and Vegetable Products,24,"Sweet potato, cooked, baked in skin, without salt",90,2.01,3.3,6.48,75.78,36,0.034
